Trial,Timestamp,Distance (cm),Ping Time (us),Delay,Arduino ID,Sensor ID,Range (cm),Sensor length (cm),Color of sensor,Angle on XY plane,side a (cm),side b (cm),side c (cm),Angle on YZ plane,Sensor Configuration,Sensor Angle,Surface material,Surface Length (cm),Surface Width (cm)
0,1180,4,255,16800 us,,,,,,,,,,,,,,,
1,1228,5,303,16800 us,,,,,,,,,,,,,,,
2,1248,5,327,16800 us,,,,,,,,,,,,,,,
3,1248,5,327,16800 us,,,,,,,,,,,,,,,
4,1244,5,327,16800 us,,,,,,,,,,,,,,,
5,1256,5,331,16800 us,,,,,,,,,,,,,,,
6,1248,5,323,16800 us,,,,,,,,,,,,,,,
7,1244,5,323,16800 us,,,,,,,,,,,,,,,
8,1244,5,323,16800 us,,,,,,,,,,,,,,,
9,1248,5,323,16800 us,,,,,,,,,,,,,,,
10,1248,5,327,16800 us,,,,,,,,,,,,,,,
11,1244,5,323,16800 us,,,,,,,,,,,,,,,
12,1244,5,319,16800 us,,,,,,,,,,,,,,,
13,1244,5,327,16800 us,,,,,,,,,,,,,,,
14,1252,5,327,16800 us,,,,,,,,,,,,,,,
15,1252,5,327,16800 us,,,,,,,,,,,,,,,
16,1248,5,331,16800 us,,,,,,,,,,,,,,,
17,1248,5,327,16800 us,,,,,,,,,,,,,,,
18,1256,5,327,16800 us,,,,,,,,,,,,,,,
19,1252,5,327,16800 us,,,,,,,,,,,,,,,
20,1244,5,327,16800 us,,,,,,,,,,,,,,,
21,1244,5,323,16800 us,,,,,,,,,,,,,,,
22,1244,5,323,16800 us,,,,,,,,,,,,,,,
23,1248,5,323,16800 us,,,,,,,,,,,,,,,
24,1248,5,323,16800 us,,,,,,,,,,,,,,,
25,1244,5,327,16800 us,,,,,,,,,,,,,,,
26,1244,5,327,16800 us,,,,,,,,,,,,,,,
27,1252,5,327,16800 us,,,,,,,,,,,,,,,
28,1252,5,327,16800 us,,,,,,,,,,,,,,,
29,1244,5,327,16800 us,,,,,,,,,,,,,,,
30,1248,5,327,16800 us,,,,,,,,,,,,,,,
31,1248,5,327,16800 us,,,,,,,,,,,,,,,
32,1256,5,327,16800 us,,,,,,,,,,,,,,,
33,1244,5,327,16800 us,,,,,,,,,,,,,,,
34,1244,5,327,16800 us,,,,,,,,,,,,,,,
35,1244,5,323,16800 us,,,,,,,,,,,,,,,
36,1252,5,323,16800 us,,,,,,,,,,,,,,,
37,1224,5,299,16800 us,,,,,,,,,,,,,,,
38,1248,5,331,16800 us,,,,,,,,,,,,,,,
39,1248,5,327,16800 us,,,,,,,,,,,,,,,
40,1248,5,327,16800 us,,,,,,,,,,,,,,,
41,1248,5,327,16800 us,,,,,,,,,,,,,,,
42,1252,5,331,16800 us,,,,,,,,,,,,,,,
