Trial,Ping Duration,Distance (cm),Ping Time (us),Delay (us),Steps,Arduino ID,Sensor ID,Range (cm),Sensor length (cm),Color of sensor,Angle on XY plane,side a (cm),side b (cm),side c (cm),Angle on YZ plane,Sensor Configuration,Sensor Angle,Surface material,Surface Length (cm),Surface Width (cm)
0,3964,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
1,3964,53,3043,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
2,3952,53,3035,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
3,3956,53,3035,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
4,3960,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
5,3972,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
6,3968,53,3035,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
7,3956,53,3043,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
8,3960,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
9,3956,53,3043,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
10,3984,53,3063,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
11,3956,53,3043,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
12,3960,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
13,3964,53,3043,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
14,3964,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
15,3956,53,3035,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
16,3964,53,3043,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
17,3952,53,3035,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
18,3956,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
19,3960,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
20,3960,53,3035,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
21,3960,53,3039,16800,0,11,3,53,,b,0,18.3,,0,0,HTR,90,wood,31,30.5
