Ardunino ID,Sensor ID,Trial,Range (cm),Start Time (ms),Distance (cm),Echo Return Time (ms),Sensor length (cm),Delay(ms),Color of sensor,Angle on XY plane,side a(cm),side b(cm),side c(cm),Angle on YZ plane,Sensor Configuration,Sensor Angle,Surface material,Surface Length(cm),Surface Width(cm)
1,2,1,40,5343,39,2279,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,2,40,6395,39,2255,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,3,40,7449,39,2259,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,4,40,8503,39,2255,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,5,40,9556,39,2259,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,6,40,10610,40,2283,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,7,40,11663,39,2259,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,8,40,12717,39,2263,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,9,40,13770,39,2263,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,10,40,14824,39,2263,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,1,35,16930,35,2003,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,2,35,17984,35,1999,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,3,35,19038,35,1995,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,4,35,20090,34,1971,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,5,35,21144,35,1995,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,6,35,22197,35,1995,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,7,35,23250,35,1995,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,8,35,24304,35,1999,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,9,35,25357,35,1999,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,10,35,26411,35,1995,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,1,30,28517,30,1723,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,2,30,29570,29,1699,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,3,30,30622,29,1703,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,4,30,31675,29,1703,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,5,30,32729,29,1707,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,6,30,33781,29,1703,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,7,30,34834,29,1707,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
1,2,8,30,35888,30,1711,0.4,50,Blue,0,10,10,0,0,HTR,90,wood,30.4,29.9
